swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-07-08_Mark-Liversedge_Wrist_01__swing_0001,1,1,20.197,30.83917978215449,467.15453901100955,faceOn,1,1,147.384,12.154022038324069,689.6099792545431,faceOn,1,1,93.553,30.836443330800073,610.8729569460351,faceOn,1,1,67.788,11.397690577601015,1787.6735766796903,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,1.121
2026-07-08_Mark-Liversedge_Wrist_01__swing_0002,1,1,6.806,9.845261853959112,1179.8047193065852,faceOn,1,1,67.083,26.475084398938346,593.4354190451019,faceOn,1,1,94.014,23.94282028552466,629.8061952380502,faceOn,1,1,68.762,9.08883585029709,1899.4918331307895,faceOnClub,leadArm → club → thorax → pelvis,False,unresolved,estimated,52.096
2026-07-08_Mark-Liversedge_Wrist_01__swing_0003,1,0,127.148,40.27358499031106,299.7914212647699,faceOn,1,1,60.156,37.415612749052926,591.45162407886,faceOn,1,1,93.729,17.291250252629652,618.8056056681887,faceOn,1,1,70.075,7.286582312051794,1921.5006390562476,faceOnClub,leadArm → club → thorax,False,unresolved,estimated,3.408
2026-07-08_Mark-Liversedge_Wrist_01__swing_0004,1,1,0,38.494877121347194,491.5740852772281,faceOn,1,1,127.354,17.309411183129267,1125.4019306206278,faceOn,1,1,107.334,19.884130761984604,656.7025248919617,faceOn,1,1,59.686,9.924929023532936,1952.607460253001,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,1.353
2026-07-08_Mark-Liversedge_Wrist_01__swing_0005,1,1,113.737,28.928984613143786,550.7926920377727,faceOn,1,1,127.057,16.342082194908173,809.0536706461178,faceOn,1,1,147.067,28.554611167572517,650.1858173857966,faceOn,1,1,70.11,7.653169462914277,1982.073838409303,faceOnClub,leadArm → thorax → pelvis → club,False,unresolved,estimated,3.443
2026-07-08_Mark-Liversedge_Wrist_01__swing_0006,1,1,33.563,25.45025903448039,539.444860477447,faceOn,1,1,134.01,8.363690787086744,1612.0421257997539,faceOn,1,1,20.156,38.440130317947634,989.9847757882064,faceOn,1,1,62.886,9.745268851037075,1924.862840345675,faceOnClub,thorax → club → pelvis → leadArm,False,unresolved,estimated,0.386
2026-07-08_Mark-Liversedge_Wrist_01__swing_0007,1,1,113.947,36.24765010074806,350.09554778974905,faceOn,1,1,133.972,13.313360626691418,1520.9132494299754,faceOn,1,1,46.952,21.62125384040067,652.5706336414934,faceOn,1,1,60.821,9.431414269937996,1917.8136606312319,faceOnClub,thorax → pelvis → club → leadArm,False,unresolved,estimated,48.321
2026-07-08_Mark-Liversedge_Wrist_01__swing_0008,1,1,26.788,26.07794537337478,575.5811212677661,faceOn,1,1,220.717,13.655366168052154,876.5596942849361,faceOn,1,1,67.004,34.87925721506033,629.9087832797416,faceOn,1,1,66.637,8.265610632263925,2043.599812054157,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,49.971
2026-07-08_Mark-Liversedge_Wrist_01__swing_0009,1,1,0,7.718312169292182,1328.1346691512765,faceOn,1,1,174.142,15.690498107307775,678.8967446025105,faceOn,1,1,187.631,16.533838591578938,541.1084027995297,faceOn,1,1,62.6,7.813412992755137,2009.7542248081809,faceOnClub,leadArm → thorax → club → pelvis,False,unresolved,estimated,0.1
2026-07-08_Mark-Liversedge_Wrist_01__swing_0010,1,1,0,6.11309506697414,1497.6498722455533,faceOn,1,1,60.371,23.44746125987201,679.4750146641077,faceOn,1,1,100.343,29.778475770464645,640.5055168776418,faceOn,1,1,59.046,10.341459367210467,1910.0263170347198,faceOnClub,leadArm → thorax → club → pelvis,False,unresolved,estimated,42.379
2026-07-08_Mark-Liversedge_Wrist_01__swing_0011,1,1,26.897,32.5228865842451,400.97899600322455,faceOn,1,1,100.557,23.46873515681192,671.7268233951071,faceOn,1,1,87.045,38.86037604824778,598.8679862051829,faceOn,1,1,65.453,8.478740330871068,1968.9031340442084,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,48.787
2026-07-09_Mark-Liversedge_Wrist_01__swing_0001,1,0,45.599,47.469322850709766,325.5096616779172,faceOn,1,1,167.512,13.104189823943539,600.9133219895673,faceOn,1,1,120.699,17.683670945072663,603.896736470551,faceOn,1,1,67.615,10.178771145323905,1789.4893688894317,faceOnClub,thorax → leadArm → club,True,partial,estimated,55.115
2026-07-09_Mark-Liversedge_Wrist_01__swing_0002,1,0,32.43,46.75363274442254,392.00641490006046,faceOn,1,1,69.971,18.996441687983374,656.3690044944468,faceOn,1,1,123.708,19.30988843454436,629.2150721342307,faceOn,1,1,58.652,9.042552281857214,1768.7752866329995,faceOnClub,leadArm → thorax → club,False,unresolved,estimated,50.318
2026-07-09_Mark-Liversedge_Wrist_01__swing_0003,1,1,34.132,26.30332952571599,462.9158175670651,faceOn,1,0,67.836,109.2988110126454,569.8427673250198,faceOn,1,1,81.327,22.596825380476666,663.5527367204461,faceOn,1,1,58.415,13.164671975788796,1777.286634192815,faceOnClub,leadArm → club → pelvis,False,unresolved,estimated,50.082
2026-07-09_Mark-Liversedge_Wrist_01__swing_0004,1,1,26.741,29.916456582156925,453.95284494005926,faceOn,1,1,152.821,12.064881550754329,1648.8454440136782,faceOn,1,1,46.837,13.217762305153306,778.749884378463,faceOn,1,1,3.745,5.824257488579429,2011.1179956712804,faceOnClub,thorax → leadArm → pelvis → club,False,unresolved,estimated,3.745
2026-07-09_Mark-Liversedge_Wrist_01__swing_0005,1,1,32.223,22.86170484793742,476.48658487457504,faceOn,1,1,147.171,12.458580922623842,796.1839661622627,faceOn,1,1,66.09,22.316683023878014,639.8202814105474,faceOn,1,1,59.891,11.596822174460062,1857.4655589550437,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,1.557
2026-07-09_Mark-Liversedge_Wrist_01__swing_0006,1,1,5.929,18.930965358345777,537.089888561115,faceOn,1,1,161.334,17.045917796283597,854.3611775887621,faceOn,1,1,140.399,19.190207769118928,607.3637587716082,faceOn,1,1,63.431,8.85074077932168,1967.0942204875728,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,0.931
