swing,downswing_ms,elbows_addr_bias_deg,elbows_fit_before_impact_ms,elbows_fit_imp_deg,elbows_fit_peak_dps,elbows_fit_rms_px,elbows_fit_sigma_t_ms,elbows_fit_top_deg,elbows_fit_w0_over_addr,elbows_imp_deg_ref_max,elbows_maxdown_over_addr,elbows_pw_before_impact_ms,elbows_pw_peak_dps,elbows_sig_w,elbows_square_before_impact_ms,elbows_top_deg_ref_max,elbows_w_addr,pelvis_addr_bias_deg,pelvis_fit_before_impact_ms,pelvis_fit_imp_deg,pelvis_fit_peak_dps,pelvis_fit_rms_px,pelvis_fit_sigma_t_ms,pelvis_fit_top_deg,pelvis_fit_w0_over_addr,pelvis_imp_deg_ref_max,pelvis_maxdown_over_addr,pelvis_pw_before_impact_ms,pelvis_pw_peak_dps,pelvis_sig_w,pelvis_square_before_impact_ms,pelvis_top_deg_ref_max,pelvis_w_addr,thorax_addr_bias_deg,thorax_fit_before_impact_ms,thorax_fit_imp_deg,thorax_fit_peak_dps,thorax_fit_rms_px,thorax_fit_sigma_t_ms,thorax_fit_top_deg,thorax_fit_w0_over_addr,thorax_imp_deg_ref_max,thorax_maxdown_over_addr,thorax_pw_before_impact_ms,thorax_pw_peak_dps,thorax_sig_w,thorax_square_before_impact_ms,thorax_top_deg_ref_max,thorax_w_addr
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,280.7010000000001,54.454910922727755,172.701,-62.27101938844316,1999.9999999999998,26.550321228916363,42.074008867972466,30.179508763477273,1.7536126484435866,49.204092984918724,1.7201535619879238,168.701,3072.1148271393467,4.255603480050116,188.70100000000002,28.43424290685177,109.06964926906309,21.96114353701871,-7.2990000000001665,2.160512458364592,692.1689570682402,1.472430436243775,8.844332774281074,45.85276881689781,1.0766355086947763,0.536180612794339,1.0782395532680389,4.700999999999844,1066.4088084873742,2.584647606439566,0.7009999999998406,46.0158107207284,81.6544514690183,16.657468153924285,-7.2990000000001665,11.53210977599764,588.5615852483344,6.232006038028729,12.220201853215583,42.91623068771819,1.0440283636069085,11.458611379734263,1.043802607985745,-3.299000000000163,579.5100458608231,1.5,-19.299000000000177,45.19273068998702,134.49217071132816
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,301.5880000000002,58.32288427047623,285.5880000000002,-62.64720634547941,1999.9999999999998,19.84105665214569,27.896634603876926,18.951077356040585,1.8947624549326432,51.49731146686081,1.9042838743041637,161.58800000000008,2582.9507389092646,3.3463336336860365,189.58800000000008,25.798867259614582,113.67777924139445,23.857676474445714,13.587999999999933,-7.516019811446794,721.7480190257742,0.731288830595278,11.313708498984768,44.067857264480786,1.0921317284949823,8.434260765362051,1.0934303690937923,1.5879999999999228,763.0749366978478,2.3409030531110115,13.587999999999933,43.80750873399044,83.21524983073867,19.604065200769135,-2.4120000000000807,9.753633790686559,660.1538252831934,8.223268959957867,13.316656236958796,43.052619089999546,1.0611141427238202,10.023974247135698,1.0615332056028062,-6.412000000000084,710.0627748064381,2.2318922073653806,-14.412000000000091,43.779980326771586,135.84684628047142
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,267.8959999999999,56.37417534727877,155.89599999999982,-61.47443711978589,1999.9999999999998,19.704292790904447,29.567249148715607,23.081652309378512,1.8227523066437232,50.70413900633337,1.8058139246024327,155.89599999999982,2379.037757892009,4.737211362986822,183.89599999999984,21.35554632621326,110.41359127074352,17.613991111837176,43.89599999999972,-7.807660164620901,693.3106240317755,1.664798736069319,10.583005244258372,52.50952910796934,1.0492419038425491,8.550741421153143,1.0491893506182384,43.89599999999972,837.7308141625838,2.8086903565363692,35.8959999999997,55.48035774171811,80.6241519114727,18.996994337204022,-4.10400000000033,10.600883683854244,548.5222537253146,6.5516055810895875,14.514360704718175,37.864249665561694,1.0573340369261026,10.518756729510523,1.0576015792024462,147.89599999999982,669.9135198678902,1.5,-24.104000000000347,35.24822119140384,131.18525642364716
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,368.7070000000001,55.803445459748104,288.70700000000005,-58.495017371406796,1999.9999999999998,17.559787849059603,13.7113092008021,58.24491823901952,1.782200459041888,47.0134168130419,1.7792529266066228,160.70699999999994,2433.3578044646183,1.854929331294211,212.707,59.85212405762756,101.14922667241103,15.45182332093492,-31.293000000000237,7.123095558449718,1009.6078414636456,2.841593948136475,31.88869531493709,37.1679119774672,1.0361152063522199,9.258744284664838,1.0375006501411472,-23.29300000000023,772.3755981007846,1.5,-15.293000000000223,35.65790667325755,79.81286065862386,17.078876066928455,368.7070000000001,12.803677582103633,808.4925354478898,6.4810066322774045,12.788884062167265,47.39552930250209,1.0459753119731992,12.719362593294104,1.046133047514502,372.7070000000001,927.4219730384011,1.5,-31.293000000000237,46.875541856866725,130.9110397535227
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,308.09299999999996,51.12580414004119,132.0929999999998,-310.50012388506633,1999.9999999999998,75.95291174257927,98.52241707685964,7.917962706353091,1.585373143342787,45.04792725177703,1.5933398425555647,272.0929999999999,2146.1997950766,2.263453103897154,288.09299999999996,9.401760997048967,112.96833696356609,13.241010984115947,-11.907000000000334,-2.9326403081426085,627.7447725944769,2.4658520864456195,23.05548862105413,49.31973425164276,1.0282408523433875,3.706662367899957,1.0273108480348836,328.09299999999996,694.8352206369509,2.289552581003818,16.09299999999969,48.97859142480961,81.157016723733,21.640784397670007,4.09299999999968,10.379090296919992,698.3979563686175,6.496306770891655,22.06052281036575,39.772277566706315,1.0759690316658537,10.250553971157307,1.0758307812394121,0.09299999999967667,694.5549306236304,3.0060670797348394,-15.907000000000338,35.07381351459004,131.43246195122407
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,287.9810000000003,56.91863215325159,159.98100000000017,-61.70875105115424,1999.9999999806055,19.76114015276099,8.326663997864538,34.270558992007246,1.8655803240235271,50.77952116763956,1.8320738936676202,147.98100000000014,2605.528552564658,2.6614962551118824,171.98100000000017,35.16060358270578,111.48262914042219,18.70024740610089,-16.019000000000005,0.005085903873248543,864.134454485227,0.9060680726373528,10.81151649348458,46.95365933301276,1.0575747196531997,3.1725225165512323,1.0557333309037733,-12.019000000000002,890.9859678550414,2.94174252747147,-4.018999999999995,50.538197763485925,81.2516921264207,20.53115217431886,-32.01900000000002,12.357799541204948,735.3537928064657,7.002997065972366,14.590712418826207,44.27527002200034,1.0678476059255375,12.294904032570734,1.0678265937308888,-32.01900000000002,730.2195174304201,2.6923486675763733,-24.019000000000013,44.8056323031025,133.95478245231564
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,375.22600000000006,58.10129116693094,151.22599999999986,-59.73365481408893,1999.9999999999948,17.638671024192465,14.590712418826207,62.057020603816724,1.9189331291519944,48.83373648832377,1.8924369032860484,139.22599999999986,2379.113023782678,4.6306275844035145,187.22599999999989,62.24885339847956,100.26347587633718,26.88266422288328,7.225999999999733,0.28514384225223566,759.4897978064406,5.78040820925901,42.81225162133956,48.60822360560442,1.121196574078599,1.538386858143359,1.12115871084863,11.225999999999736,846.9844207622909,1.6243475428024945,3.225999999999729,46.97508231621186,77.84051658156682,19.018249690719763,391.22600000000006,14.73030023670981,1191.3956460563159,6.669328502861359,10.192589900947112,39.91003106163556,1.0570084320114748,14.975182184172574,1.0577367413387173,395.22600000000006,984.8297564517126,1.5,-28.7740000000003,34.755463108011085,132.48015702395588
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,274.8219999999999,55.9249917665445,178.8219999999998,-63.57366486766282,1999.9999999999989,23.772683945276576,18.036999011291595,31.065400574320353,1.7782046157205573,52.95125983849115,1.7848290399828266,170.8219999999998,3230.3829568118254,4.16587908922966,182.82199999999983,27.875588565485373,117.73515523060551,22.89025519597447,-29.17800000000037,5.922398922787815,775.8955048884181,0.47604477303728154,9.140872800534733,46.5198698336132,1.087145324736523,4.586899957147494,1.0854798278770184,-37.17800000000038,686.077222373214,2.181878621157866,-9.178000000000353,47.27064554294386,81.489178980576,13.878661764943997,-45.17800000000038,13.501740077881854,578.9322943964804,9.180608937283825,13.991068579633236,46.862944047008554,1.0300253933337247,13.38816575694062,1.0300720463362716,150.82199999999978,790.4774529713727,3.2219239267435045,-29.17800000000037,43.739586712251715,139.36279873061665
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,274.7550000000003,41.77868510827026,194.75500000000022,-52.64115409467917,1999.9999999999998,21.838211988237216,11.193996406804667,68.18203900910001,1.334273970653893,34.58584059061744,1.3409788649787868,162.7550000000002,3450.680624100951,6.42322978342384,174.75500000000022,63.56071891820453,106.48887199885124,22.08621264035933,18.755000000000077,-13.445491779224733,1210.8880084675443,2.3456028145457934,5.9628479399994445,50.54119934681608,1.0785702684615193,13.819056643689786,1.079192043839363,6.7550000000000665,1366.438856203834,2.060303826349415,10.75500000000007,55.41768420389243,80.39901291640669,15.465822448603872,-29.244999999999965,8.584455025901354,641.2823799878659,0.7734163942317296,9.977753031397185,54.12481268533123,1.0373144689998315,8.673337447281881,1.0375707563098975,-29.244999999999965,669.6637152425404,2.255233724619775,-17.244999999999955,53.30882510135755,129.99386277347367
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,281.24599999999987,32.06226255435078,41.24599999999967,0.035343506947018814,1078.812635873516,7.383303437055491,20.39335403725659,71.95141004429458,1.1740806275854176,9.040926126667998,1.1799803503933195,33.24599999999967,1189.4155589370855,12.367391738253412,-10.754000000000374,68.29569447548279,97.66007876178969,22.275631070193633,25.245999999999658,-18.39182485043177,1086.987550872108,0.5968643137750507,0.0,37.60209998603441,1.0752443872991078,19.10169049994678,1.0806476254262374,21.245999999999654,1376.2509216665287,3.7182649931953318,25.245999999999658,37.888973451675405,76.98178365278646,17.488491986922764,-38.7540000000004,3.714125203773296,722.1744395718529,1.862472943375192,19.855030149113926,64.21469170143729,1.0473783760990127,4.781947671664346,1.04846274859186,181.2459999999998,837.5238338226302,3.3092579353136906,-10.754000000000374,63.2413867715253,129.3217635559207
