swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,pelvis_noEarlierThanMs,pelvis_noLaterThanMs,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,thorax_noEarlierThanMs,thorax_noLaterThanMs,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,leadArm_noEarlierThanMs,leadArm_noLaterThanMs,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,club_noEarlierThanMs,club_noLaterThanMs,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-07-04_Mark-Liversedge_Wrist_01__swing_0012,1,0,93.573,51.58377603223182,207.0444290626538,faceOn,86.846,,1,0,100.453,42.519262428279085,426.74410951746296,faceOn,,,1,1,86.846,17.092121450073815,696.5253741495503,faceOn,,,1,1,34.459,27.180155275219303,1838.5425113882911,faceOnClub,,,leadArm → club,True,partial,estimated,142.793
2026-07-04_Mark-Liversedge_Wrist_01__swing_0013,1,0,194.276,49.06384279586934,204.82861310386338,faceOn,80.46000000000001,,1,0,200.931,10.203456981525477,769.329510562723,faceOn,40.195,,1,0,60.244,43.20548108925312,774.2791979175554,faceOn,,,1,1,23.034,13.906260093637314,1710.5476472259036,faceOnClub,,,club,False,unresolved,estimated,156.368
2026-07-04_Mark-Liversedge_Wrist_01__swing_0014,1,0,93.849,34.41787890699207,266.7611668820523,faceOn,87.084,,1,0,207.545,10.434896525254715,983.1151372010797,faceOn,33.354,,1,1,87.084,16.191469376336975,743.0143165241094,faceOn,,,1,0,37.903,42.24532370180657,1808.033910450109,faceOnClub,,,leadArm,False,unresolved,estimated,150.403
2026-07-04_Mark-Liversedge_Wrist_01__swing_0015,1,0,107.266,30.246571804849108,325.8600174107607,faceOn,93.83800000000001,,1,0,140.443,17.542581130449264,622.054248338051,faceOn,,,1,1,100.434,20.782715619330133,695.526762081248,faceOn,,,1,1,53.08,11.883807712714326,1964.560785823166,faceOnClub,,,leadArm → club,True,partial,estimated,148.913
2026-07-05_Mark-Liversedge_Wrist_02__swing_0001,1,0,140.54,79.27781254835847,161.15698798799642,faceOn,133.849,,1,0,167.414,19.887899672452335,955.9588336825946,faceOn,,73.58500000000001,1,1,201.05,12.755810547863934,736.6607838067193,faceOn,,,1,1,61.529,9.78290631664298,1887.1290199118957,faceOnClub,,,leadArm → club,True,partial,estimated,182.362
2026-07-05_Mark-Liversedge_Wrist_02__swing_0002,1,0,160.811,102.90205447414148,124.27363322655287,faceOn,,,1,0,160.811,11.386353324740313,1244.689830913387,faceOn,140.673,,1,1,194.049,13.549576241413893,709.4234902238416,faceOn,,,1,1,63.146,8.484178130323826,1921.8428626693183,faceOnClub,,,leadArm → club,True,partial,estimated,183.98
2026-07-05_Mark-Liversedge_Wrist_02__swing_0003,1,0,160.672,95.83626874083211,209.45467219126886,faceOn,,,1,0,133.988,25.084891287083334,1462.4430153841058,faceOn,127.295,,1,1,174.289,13.357981663832037,803.301533818046,faceOn,,,1,1,63.517,10.932155239669637,1898.1933755674497,faceOnClub,,,leadArm → club,True,partial,estimated,1.017
2026-07-05_Mark-Liversedge_Wrist_02__swing_0004,1,0,147.285,43.3475446057212,213.55782525493717,faceOn,,,1,0,160.644,19.287362962935664,998.9150444020961,faceOn,,66.952,1,1,66.952,22.015315079543125,769.9813742932448,faceOn,,,1,1,66.708,8.406692208905103,2045.590612724923,faceOnClub,,,leadArm → club,False,unresolved,estimated,0.042
2026-07-05_Mark-Liversedge_Wrist_02__swing_0005,1,0,140.474,54.232873560054976,179.00601545262847,faceOn,,,1,0,180.668,11.783018002780759,644.2849321330298,faceOn,46.83,,1,1,80.363,16.753853262382165,742.9525146458233,faceOn,,,1,1,70.638,8.16477767392741,2067.437712508767,faceOnClub,,,leadArm → club,False,unresolved,estimated,3.972
2026-07-05_Mark-Liversedge_Wrist_02__swing_0006,1,0,154.022,56.94501492423545,187.78196363036068,faceOn,140.519,,1,0,160.659,14.115517556696384,1067.4328945311884,faceOn,,107.138,1,1,46.723,16.995841007514205,809.106751377872,faceOn,,,1,1,68.165,9.40347498418388,1770.6545268700427,faceOnClub,,,club → leadArm,True,other,estimated,197.332
