swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,1,0,113.369,102.1952845633159,272.17409043884,faceOn,1,0,107.016,15.682472889348139,1637.569995681256,faceOn,1,1,53.557,17.54007779529819,877.2083667929497,faceOn,1,1,1.541,5.186283808792657,1984.86936523736,faceOnClub,leadArm → club,True,partial,estimated,1.541
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,1,0,120.586,43.427857399620386,467.04119792758297,faceOn,1,0,133.882,5.293907624526662,2159.5359058368235,faceOn,1,1,60.304,15.684060068648444,778.9309045102519,faceOn,1,1,3.042,7.334963419938505,1832.8941702537202,faceOnClub,leadArm → club,True,partial,estimated,3.042
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,1,0,80.372,70.82860175681952,461.0539126649437,faceOn,1,0,120.521,6.773814330690587,3032.3026005158704,faceOn,1,1,153.973,11.109335096863102,1000.584247659623,faceOn,1,0,248.248,12.291024276896424,694.3305101301656,faceOnClub,leadArm,False,unresolved,estimated,102.415
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,1,0,187.757,56.51258876674373,261.3835104161124,faceOn,1,0,120.817,19.494179414612674,2165.3485421255373,faceOn,1,1,160.961,22.266732667184737,709.687302621323,faceOn,1,1,35.033,14.89651698210376,1603.9712432638314,faceOnClub,leadArm → club,True,partial,estimated,1.7
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,1,0,140.616,32.844676280832644,389.5937920554921,faceOn,1,0,214.262,267.72499999999997,6163.398014591941,faceOn,1,1,207.504,6.541134267315552,4211.050000042589,faceOn,1,1,51.956,11.071759072304658,1622.1531590534946,faceOnClub,leadArm → club,True,partial,estimated,39.456
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,1,0,67.105,86.80969361845254,396.84111530418755,faceOn,1,0,113.96,7.468242331135894,1662.707220509175,faceOn,1,1,154.035,17.1859166728643,785.149336136989,faceOn,1,1,52.961,10.502221038804054,1744.7482144993455,faceOnClub,leadArm → club,True,partial,estimated,32.128
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,1,0,87.15,75.4190700115946,569.6603912668552,faceOn,1,0,114.015,8.592400761073211,2149.321376306593,faceOn,1,1,375.226,19.62746661904392,1101.8594199178897,faceOn,1,1,7.078,8.880355439274926,1905.1952397616358,faceOnClub,leadArm → club,True,partial,estimated,32.078
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,1,0,160.944,39.83698601645249,408.29370791203297,faceOn,1,0,107.013,18.563072946125818,1744.4717522221836,faceOn,1,1,160.944,17.404562506294265,640.029825581394,faceOn,1,1,45.294,11.931447193643676,1556.945598582381,faceOnClub,leadArm → club,True,partial,estimated,3.627
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,1,0,267.959,22.749808316483517,355.3502735120143,faceOn,1,0,120.562,6.859221734580963,2322.8332218251035,faceOn,1,1,160.825,21.78487737313734,566.3153095082869,faceOn,1,0,80.86,5.997900062124235,1776.2861838191782,faceOnClub,leadArm,False,unresolved,estimated,39.193
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,1,0,120.575,80.49687884306198,435.2368650014712,faceOn,1,0,47.018,62.634033182312535,470.81251754618734,faceOn,1,1,93.685,19.257060512151295,607.9402438227643,faceOn,1,1,75.652,9.882810518268363,1762.80108723944,faceOnClub,leadArm → club,False,unresolved,estimated,54.819
