swing_dir,outcome,json_bytes,ppsw_bytes,ms,error
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0006",converted,35138111,3376008,476,""
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0007",converted,35115894,3369653,482,""
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0008",converted,35128591,3348023,483,""
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0009",converted,35107402,3335406,465,""
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0010",converted,35042591,3322866,460,""
"C:/PinPointStudio/corpus/swings/2026-07-08_Mark-Liversedge_Wrist_01/swing_0011",converted,35104014,3342231,478,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0001",converted,35041823,3371986,492,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0002",converted,35049468,3378359,445,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0003",converted,35040605,3321336,440,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0004",converted,35066072,3367958,458,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0005",converted,35014724,3293702,477,""
"C:/PinPointStudio/corpus/swings/2026-07-09_Mark-Liversedge_Wrist_01/swing_0006",converted,35024385,3375444,453,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0001",converted,35125272,3370943,483,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0002",converted,35188165,3395363,468,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0003",converted,35156746,3378054,443,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0004",converted,35182565,3356575,446,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_01/swing_0005",converted,35142062,3360782,598,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0001",converted,35194180,3358160,478,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0002",converted,35130702,3367053,463,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0003",converted,35189057,3378124,453,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0004",converted,35186671,3394118,480,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0005",converted,35162479,3332806,465,""
"C:/PinPointStudio/corpus/swings/2026-07-10_Mark-Liversedge_Wrist_02/swing_0006",converted,35164586,3393193,446,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0001",converted,14146,1825,7,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0002",converted,14146,1829,5,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0004",converted,7954,1306,5,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0005",converted,7952,1313,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0006",converted,14155,1820,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0007",converted,14149,1816,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0008",converted,14145,1820,5,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0009",converted,14157,1818,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0010",converted,14146,1824,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0011",converted,14148,1820,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0012",converted,14144,1822,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0013",converted,14154,1828,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0014",converted,14152,1824,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0015",converted,14156,1830,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0016",converted,14180,1836,5,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0017",converted,14158,1833,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0018",converted,14161,1829,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0019",converted,14143,1827,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0020",converted,14155,1825,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0021",converted,14181,1823,5,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0022",converted,14123,1805,4,""
"C:/PinPointStudio/corpus/swings/2026-08-04_Mark-Liversedge_Wrist_05/swing_0023",converted,14149,1828,4,""
