item,R1-M1_n,R1-M1_median,R1-M1_p90,R1-R2_n,R1-R2_median,R1-R2_p90,M1-M2_n,M1-M2_median,M1-M2_p90,PR-PM_n,PR-PM_median,PR-PM_p90
metric:lagAngle:P0,38,0.5946,5.2792,38,0.0,0.0,38,0.0,0.0,38,0.0548,1.0748
metric:lagAngle:P2,38,1.861,7.6786,38,0.0,0.0,38,0.0,0.0,38,0.0801,1.6377
metric:lagAngle:P5,38,0.8118,3.3515,38,0.0,0.0,38,0.0,0.0,38,0.0318,0.7672
metric:leadArmAngularSpeed:P5,34,7.3102,66.2775,34,0.0,0.0,34,0.0,0.0,34,1.8152,14.5243
metric:leadArmAngularSpeed:P9,38,15.673,65.3407,38,0.0,0.0,38,0.0,0.0,38,3.8228,31.9445
metric:leadArmToTorso:P0,38,0.5182,2.1181,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadArmToTorso:P2,38,2.6544,16.8752,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadArmToTorso:P5,37,0.2802,2.2023,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:leadArmToTorso:P7,38,3.4317,16.5337,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadFootFlare:P0,38,2.1658,8.4815,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P0,38,0.5611,14.0778,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P2,38,0.9188,9.914,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHandWidth:P5,37,1.0891,9.1492,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:leadHandWidth:P7,38,1.4836,20.7462,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadHeelLift:P0,28,0.1805,1.3228,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:leadHeelLift:P2,28,0.3257,1.932,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:leadHeelLift:P5,28,0.3683,0.8136,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:leadKneeDrift:P0,38,0.8202,6.4309,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadKneeDrift:P2,38,0.9065,3.0523,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadKneeDrift:P5,38,1.2937,4.0539,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P0,38,0.5569,4.4935,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P2,38,2.5031,7.1365,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:leadUpperArmToChest:P5,37,0.3618,2.7895,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:leadUpperArmToChest:P7,38,0.904,5.6731,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:lowPointAhead:P5,28,0.3269,1.354,29,0.0,0.0,29,0.0,0.0,29,0.1529,0.8917
metric:pelvisAngularSpeed:P5,23,55.4077,175.8237,25,0.0,0.0,27,0.0,0.0,25,0.0,0.0
metric:pelvisAngularSpeed:P9,34,73.9597,475.814,34,0.0,0.0,37,0.0,0.0,34,0.0,61.6597
metric:pelvisLift:P0,38,0.8443,5.7845,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisLift:P2,38,1.1721,2.5481,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisLift:P5,38,1.6706,5.933,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P0,38,0.3411,2.3127,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P2,38,0.5924,1.6081,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:pelvisSway:P5,38,0.6517,1.701,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:plumbBobDistance:P0,28,0.1583,0.7069,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P12,28,0.164,0.3456,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P13,28,0.1838,0.3762,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P2,28,0.1534,0.594,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P5,28,0.1541,0.6578,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P8,28,0.1112,0.3346,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
metric:plumbBobDistance:P9,28,0.1698,0.7373,28,0.0,0.0,29,0.0,0.0,28,0.0,0.1311
metric:secondaryAxisTilt:P0,38,0.1852,0.8335,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:secondaryAxisTilt:P2,38,1.34,6.2563,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:secondaryAxisTilt:P5,37,0.2197,0.8069,37,0.0,0.0,38,0.0,0.0,37,0.0,0.0
metric:shaftAngleVsHorizontal:P0,38,1.0,16.9894,38,0.0,0.0,38,0.0,0.0,38,0.0065,6.9326
